          pH	          mu	        Time	          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
     6.98895	  0.00240369	  1.0000e+00	  6.9890e+00	  1.8031e-04	  4.2395e-05	  4.3204e-04	  1.9049e-04	  1.3572e-04	  8.0832e-04	  2.9873e-06	  5.7512e-05	  7.3499e-05	  2.4949e+02	  6.4018e-01	  9.3950e-01	  9.7854e-01	  9.9993e-01	  4.5659e+00	  1.5974e+01	  1.7581e+00	  2.3673e-01	  6.4067e-01	  5.2530e-02	  5.2530e-02	  2.0021e-01	  2.3284e+01	  0.0000e+00	  0.0000e+00	  4.9169e-04	  1.4871e-03	
     6.93713	  0.00306218	  2.0000e+00	  6.9371e+00	  2.1664e-04	  4.8837e-05	  5.8117e-04	  2.5460e-04	  1.1222e-04	  1.3735e-03	  2.6261e-06	  6.6254e-05	  6.8047e-05	  3.5502e+02	  5.7902e-01	  9.1632e-01	  9.7006e-01	  9.9987e-01	  4.4254e+00	  1.6047e+01	  1.7523e+00	  8.3286e-02	  7.2177e-01	  5.3163e-02	  5.3163e-02	  3.4449e-01	  2.3140e+01	  0.0000e+00	  0.0000e+00	  5.2889e-04	  1.4873e-03	
     6.90094	  0.00368087	  3.0000e+00	  6.9009e+00	  2.4958e-04	  5.4052e-05	  7.1998e-04	  3.1423e-04	  9.8143e-05	  1.8735e-03	  2.3837e-06	  7.3339e-05	  6.4475e-05	  4.4999e+02	  5.3639e-01	  8.9648e-01	  9.6262e-01	  9.9981e-01	  4.2879e+00	  1.6119e+01	  1.7480e+00	  4.0926e-02	  7.5639e-01	  5.3851e-02	  5.3851e-02	  4.2089e-01	  2.3063e+01	  0.0000e+00	  0.0000e+00	  5.5339e-04	  1.4873e-03	
     6.87332	  0.00426708	  4.0000e+00	  6.8733e+00	  2.8051e-04	  5.8476e-05	  8.5080e-04	  3.7039e-04	  8.8644e-05	  2.3311e-03	  2.2072e-06	  7.9352e-05	  6.1885e-05	  5.3754e+02	  5.0403e-01	  8.7896e-01	  9.5591e-01	  9.9974e-01	  4.1530e+00	  1.6190e+01	  1.7440e+00	  3.4310e-02	  7.7568e-01	  5.4563e-02	  5.4563e-02	  4.7513e-01	  2.3009e+01	  0.0000e+00	  0.0000e+00	  5.7109e-04	  1.4874e-03	
     6.85107	   0.0048264	  5.0000e+00	  6.8511e+00	  3.1013e-04	  6.2341e-05	  9.7514e-04	  4.2374e-04	  8.1739e-05	  2.7579e-03	  2.0716e-06	  8.4609e-05	  5.9887e-05	  6.1946e+02	  4.7817e-01	  8.6321e-01	  9.4975e-01	  9.9967e-01	  4.0206e+00	  1.6259e+01	  1.7400e+00	  3.3031e-02	  7.9204e-01	  5.5292e-02	  5.5292e-02	  5.2553e-01	  2.2958e+01	  0.0000e+00	  0.0000e+00	  5.8464e-04	  1.4874e-03	
     6.83249	  0.00536293	  6.0000e+00	  6.8325e+00	  3.3884e-04	  6.5785e-05	  1.0941e-03	  4.7473e-04	  7.6458e-05	  3.1610e-03	  1.9633e-06	  8.9298e-05	  5.8280e-05	  6.9689e+02	  4.5678e-01	  8.4885e-01	  9.4401e-01	  9.9959e-01	  3.8906e+00	  1.6328e+01	  1.7360e+00	  3.2397e-02	  8.0738e-01	  5.6036e-02	  5.6036e-02	  5.7494e-01	  2.2909e+01	  0.0000e+00	  0.0000e+00	  5.9545e-04	  1.4874e-03	
     6.81657	  0.00587977	  7.0000e+00	  6.8166e+00	  3.6689e-04	  6.8902e-05	  1.2084e-03	  5.2371e-04	  7.2268e-05	  3.5447e-03	  1.8744e-06	  9.3543e-05	  5.6949e-05	  7.7060e+02	  4.3864e-01	  8.3562e-01	  9.3864e-01	  9.9951e-01	  3.7632e+00	  1.6395e+01	  1.7321e+00	  3.1841e-02	  8.2195e-01	  5.6794e-02	  5.6794e-02	  6.2368e-01	  2.2860e+01	  0.0000e+00	  0.0000e+00	  6.0433e-04	  1.4875e-03	
     6.80265	   0.0063793	  8.0000e+00	  6.8027e+00	  3.9445e-04	  7.1753e-05	  1.3186e-03	  5.7093e-04	  6.8850e-05	  3.9123e-03	  1.7999e-06	  9.7429e-05	  5.5822e-05	  8.4116e+02	  4.2297e-01	  8.2336e-01	  9.3357e-01	  9.9943e-01	  3.6384e+00	  1.6461e+01	  1.7281e+00	  3.1299e-02	  8.3578e-01	  5.7566e-02	  5.7566e-02	  6.7178e-01	  2.2812e+01	  0.0000e+00	  0.0000e+00	  6.1180e-04	  1.4875e-03	
     6.79032	  0.00686343	  9.0000e+00	  6.7903e+00	  4.2161e-04	  7.4384e-05	  1.4252e-03	  6.1658e-04	  6.5999e-05	  4.2661e-03	  1.7363e-06	  1.0102e-04	  5.4851e-05	  9.0897e+02	  4.0923e-01	  8.1191e-01	  9.2876e-01	  9.9935e-01	  3.5160e+00	  1.6525e+01	  1.7242e+00	  3.0767e-02	  8.4889e-01	  5.8351e-02	  5.8351e-02	  7.1923e-01	  2.2765e+01	  0.0000e+00	  0.0000e+00	  6.1819e-04	  1.4875e-03	
     6.77925	  0.00733365	  1.0000e+01	  6.7792e+00	  4.4846e-04	  7.6830e-05	  1.5286e-03	  6.6083e-04	  6.3580e-05	  4.6078e-03	  1.6812e-06	  1.0436e-04	  5.4001e-05	  9.7438e+02	  3.9703e-01	  8.0118e-01	  9.2417e-01	  9.9927e-01	  3.3962e+00	  1.6589e+01	  1.7203e+00	  3.0243e-02	  8.6127e-01	  5.9147e-02	  5.9147e-02	  7.6603e-01	  2.2718e+01	  0.0000e+00	  0.0000e+00	  6.2374e-04	  1.4875e-03	
     6.76922	  0.00779125	  1.1000e+01	  6.7692e+00	  4.7504e-04	  7.9118e-05	  1.6291e-03	  7.0380e-04	  6.1498e-05	  4.9388e-03	  1.6329e-06	  1.0748e-04	  5.3250e-05	  1.0376e+03	  3.8609e-01	  7.9107e-01	  9.1979e-01	  9.9918e-01	  3.2789e+00	  1.6651e+01	  1.7165e+00	  2.9730e-02	  8.7295e-01	  5.9955e-02	  5.9955e-02	  8.1217e-01	  2.2672e+01	  0.0000e+00	  0.0000e+00	  6.2862e-04	  1.4875e-03	
