          pH	          mu	        Time	          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	          DO	       O2(g)	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0000e-99	  0.0000e+00	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0000e-99	  0.0000e+00	
     7.07721	  0.00169999	  1.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6905e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3636e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.5706e+00	  1.5972e+01	  1.7582e+00	  2.2066e-01	  6.4606e-01	  5.2532e-02	  5.2532e-02	  2.0838e-01	  2.3276e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0366e-04	  5.6482e-03	
     7.07721	  0.00169999	  2.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6905e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.4347e+00	  1.6043e+01	  1.7527e+00	  6.6852e-02	  7.2619e-01	  5.3171e-02	  5.3171e-02	  3.5140e-01	  2.3133e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0316e-04	  5.6343e-03	
     7.07721	  0.00169999	  3.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6905e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.3015e+00	  1.6112e+01	  1.7486e+00	  3.3174e-02	  7.5639e-01	  5.3861e-02	  5.3861e-02	  4.2123e-01	  2.3063e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0267e-04	  5.6206e-03	
     7.07721	  0.00169999	  4.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6905e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.1706e+00	  1.6181e+01	  1.7446e+00	  2.8734e-02	  7.7398e-01	  5.4572e-02	  5.4572e-02	  4.7288e-01	  2.3011e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0218e-04	  5.6070e-03	
     7.07721	  0.00169999	  5.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6906e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.0420e+00	  1.6249e+01	  1.7407e+00	  2.7457e-02	  7.8957e-01	  5.5299e-02	  5.5299e-02	  5.2207e-01	  2.2962e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0169e-04	  5.5935e-03	
     7.07721	  0.00169999	  6.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6906e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  3.9157e+00	  1.6315e+01	  1.7368e+00	  2.6510e-02	  8.0433e-01	  5.6041e-02	  5.6041e-02	  5.7051e-01	  2.2913e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0121e-04	  5.5802e-03	
     7.07721	  0.00169999	  7.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6906e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  3.7917e+00	  1.6380e+01	  1.7330e+00	  2.5644e-02	  8.1835e-01	  5.6796e-02	  5.6796e-02	  6.1832e-01	  2.2866e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0073e-04	  5.5669e-03	
     7.07721	  0.00169999	  8.0000e+00	  7.0772e+00	  1.3729e-04	  3.3744e-05	  2.6906e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  3.6701e+00	  1.6445e+01	  1.7291e+00	  2.4834e-02	  8.3167e-01	  5.7564e-02	  5.7564e-02	  6.6552e-01	  2.2818e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0026e-04	  5.5539e-03	
